"","Y3PCSIST","Y3CERTST","pct","n","unweighted_n"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","1",10.9910991533231,542.620398848469,377
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","2",58.7747958532727,542.620398848469,377
"3","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","3",30.2341049934042,542.620398848469,377
"4","Cadre supérieur","1",7.96622964844382,1267.69898127177,1657
"5","Cadre supérieur","2",47.7059914450635,1267.69898127177,1657
"6","Cadre supérieur","3",44.3277789064927,1267.69898127177,1657
"7","Profession intermédiaire","1",12.1769291392734,1856.22499988337,1672
"8","Profession intermédiaire","2",47.0600993281506,1856.22499988337,1672
"9","Profession intermédiaire","3",40.762971532576,1856.22499988337,1672
"10","Employé","1",13.4769172277676,1963.34546811216,1872
"11","Employé","2",51.8195629545395,1963.34546811216,1872
"12","Employé","3",34.7035198176929,1963.34546811216,1872
"13","Ouvrier","1",17.2889083176098,1401.87993406682,1153
"14","Ouvrier","2",48.0422198207917,1401.87993406682,1153
"15","Ouvrier","3",34.6688718615986,1401.87993406682,1153
"16","Retraité, inactif","1",8.6945405555117,4738.23021781734,5039
"17","Retraité, inactif","2",37.4389908114033,4738.23021781734,5039
"18","Retraité, inactif","3",53.866468633085,4738.23021781734,5039
