"","Y2Q7ST","Y2CERTST","pct","n","unweighted_n"
"1","A gauche","1",13.751936787583,2654.10228855637,2595
"2","A gauche","2",51.5705334611081,2654.10228855637,2595
"3","A gauche","3",34.6775297513089,2654.10228855637,2595
"4","Ni à gauche, ni à droite","1",12.9599332125362,3834.16870385492,3931
"5","Ni à gauche, ni à droite","2",56.2618082994471,3834.16870385492,3931
"6","Ni à gauche, ni à droite","3",30.7782584880167,3834.16870385492,3931
"7","A droite","1",8.96841648499914,3728.04934111559,3868
"8","A droite","2",48.4752140602241,3728.04934111559,3868
"9","A droite","3",42.5563694547767,3728.04934111559,3868
