,REG13ST,CERTST1,pct,n,unweighted_n,VAGUE
1,Ile de France,1,27.1488732249818,1808.33191083972,1827,2023-06-16
2,"Nord et Est (Hauts de France,<br>Grand Est et Bourgogne Franche Comté)",1,30.6999738923716,2400.48060028937,2425,2023-06-16
3,"Ouest (Normandie, Bretagne,<br>Pays de la Loire et Centre Val de Loire)",1,30.524440987161,2208.06123025054,2268,2023-06-16
4,Sud ouest (Nouvelle Aquitaine<br>et Occitanie),1,29.8323609501593,2015.6373757517,1965,2023-06-16
5,"Sud est (Auvergne Rhône Alpes,<br>Provence Alpes Côte d'Azur et Corse)",1,27.9422974885041,2198.48888286865,2146,2023-06-16
6,Ile de France,1,27.0652015548493,1982.99307954579,1973,2023-11-29
7,"Nord et Est (Hauts de France,<br>Grand Est et Bourgogne Franche Comté)",1,31.0357922226372,2624.89378821275,2698,2023-11-29
8,"Ouest (Normandie, Bretagne,<br>Pays de la Loire et Centre Val de Loire)",1,30.0485532898022,2428.46985710069,2515,2023-11-29
9,Sud ouest (Nouvelle Aquitaine<br>et Occitanie),1,29.726247032039,2228.52308733871,2220,2023-11-29
10,"Sud est (Auvergne Rhône Alpes,<br>Provence Alpes Côte d'Azur et Corse)",1,29.3242878255255,2426.12018780198,2285,2023-11-29
11,Ile de France,1,19.0631748563226,1989.12977512681,2005,2024-03-01
12,"Nord et Est (Hauts de France,<br>Grand Est et Bourgogne Franche Comté)",1,22.5440102929316,2635.3055252244,2694,2024-03-01
13,"Ouest (Normandie, Bretagne,<br>Pays de la Loire et Centre Val de Loire)",1,23.0364943960338,2449.34038712966,2547,2024-03-01
14,Sud ouest (Nouvelle Aquitaine<br>et Occitanie),1,20.6173786673822,2250.42057258476,2192,2024-03-01
15,"Sud est (Auvergne Rhône Alpes,<br>Provence Alpes Côte d'Azur et Corse)",1,20.8342909094713,2445.80373993432,2332,2024-03-01
16,Ile de France,1,19.2071042847537,1800.01923040938,1844,2024-04-19
17,"Nord et Est (Hauts de France,<br>Grand Est et Bourgogne Franche Comté)",1,22.9147231338368,2384.75945730457,2457,2024-04-19
18,"Ouest (Normandie, Bretagne,<br>Pays de la Loire et Centre Val de Loire)",1,22.9602389909844,2216.47905851578,2281,2024-04-19
19,Sud ouest (Nouvelle Aquitaine<br>et Occitanie),1,19.4824121784788,2036.46558503647,1968,2024-04-19
20,"Sud est (Auvergne Rhône Alpes,<br>Provence Alpes Côte d'Azur et Corse)",1,19.1117735467341,2213.27666873378,2101,2024-04-19
21,Ile de France,1,17.9872042674502,1931.66807248001,2017,2024-05-27
22,"Nord et Est (Hauts de France,<br>Grand Est et Bourgogne Franche Comté)",1,19.8015258873755,2559.18108991142,2571,2024-05-27
23,"Ouest (Normandie, Bretagne,<br>Pays de la Loire et Centre Val de Loire)",1,21.253140939849,2378.58691516785,2467,2024-05-27
24,Sud ouest (Nouvelle Aquitaine<br>et Occitanie),1,17.0596088153332,2185.41236319919,2170,2024-05-27
25,"Sud est (Auvergne Rhône Alpes,<br>Provence Alpes Côte d'Azur et Corse)",1,17.8797211512059,2375.15155924152,2205,2024-05-27
