"","SEXEST","CERTST3","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Homme","3",48.3062304299476,5066.227461699,5209,"2023-06-16",10600
"2","Femme","3",44.66455018521,5564.77253830098,5422,"2023-06-16",10600
"3","Homme","3",46.5418929077172,5575.40932367434,5741,"2023-11-29",11691
"4","Femme","3",40.5355755221161,6115.5906763256,5950,"2023-11-29",11691
"5","Homme","3",59.4118464793707,5613.08919017105,5642,"2024-03-01",11770
"6","Femme","3",53.5425639394218,6156.91080982889,6128,"2024-03-01",11770
"7","Homme","3",60.0460941183995,5079.43694281858,5223,"2024-04-19",10651
"8","Femme","3",55.4876508047269,5571.5630571814,5428,"2024-04-19",10651
"9","Homme","3",62.992091994445,5450.93869663484,5679,"2024-05-27",11430
"10","Femme","3",59.3183293399554,5979.06130336514,5751,"2024-05-27",11430
