"","Y6INTPOLST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Beaucoup","Le chômage",9.9320213108059,3592.58013745365,3819,"2024-06-21",11820
"2","Beaucoup","Système scolaire et éducation",17.8606167893337,3592.58013745365,3819,"2024-06-21",11820
"3","Beaucoup","La sécurité des biens et des personnes",21.3174045260816,3592.58013745365,3819,"2024-06-21",11820
"4","Beaucoup","Le montant des déficits publics",11.1422370080237,3592.58013745365,3819,"2024-06-21",11820
"5","Beaucoup","Autres réponses",39.7477203657551,3592.58013745365,3819,"2024-06-21",11820
"6","Un peu","Le chômage",19.0250089052527,5280.15934177122,5258,"2024-06-21",11820
"7","Un peu","Système scolaire et éducation",19.911356363592,5280.15934177122,5258,"2024-06-21",11820
"8","Un peu","La sécurité des biens et des personnes",15.1813797522938,5280.15934177122,5258,"2024-06-21",11820
"9","Un peu","Le montant des déficits publics",9.22578529282305,5280.15934177122,5258,"2024-06-21",11820
"10","Un peu","Autres réponses",36.6564696860385,5280.15934177122,5258,"2024-06-21",11820
"11","Pas vraiment","Le chômage",30.1705407057668,2081.4036478134,1951,"2024-06-21",11820
"12","Pas vraiment","Système scolaire et éducation",20.6040584329763,2081.4036478134,1951,"2024-06-21",11820
"13","Pas vraiment","La sécurité des biens et des personnes",10.8945344932652,2081.4036478134,1951,"2024-06-21",11820
"14","Pas vraiment","Le montant des déficits publics",5.77269237289804,2081.4036478134,1951,"2024-06-21",11820
"15","Pas vraiment","Autres réponses",32.5581739950937,2081.4036478134,1951,"2024-06-21",11820
"16","Pas du tout","Le chômage",47.0455710299415,865.856872961718,792,"2024-06-21",11820
"17","Pas du tout","Système scolaire et éducation",16.0418655510297,865.856872961718,792,"2024-06-21",11820
"18","Pas du tout","La sécurité des biens et des personnes",9.11964163018506,865.856872961718,792,"2024-06-21",11820
"19","Pas du tout","Le montant des déficits publics",2.45599444339971,865.856872961718,792,"2024-06-21",11820
"20","Pas du tout","Autres réponses",25.3369273454441,865.856872961718,792,"2024-06-21",11820
