"","Y6REL1ST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","Le chômage",15.964655687386,5728.56587432477,5973,"2024-06-21",11820
"2","Catholique","Système scolaire et éducation",20.251279746176,5728.56587432477,5973,"2024-06-21",11820
"3","Catholique","La sécurité des biens et des personnes",20.8344591069811,5728.56587432477,5973,"2024-06-21",11820
"4","Catholique","Le montant des déficits publics",9.42422037814523,5728.56587432477,5973,"2024-06-21",11820
"5","Catholique","Autres réponses",33.5253850813117,5728.56587432477,5973,"2024-06-21",11820
"6","Juive","Le chômage",17.3297803257189,89.8497562082756,85,"2024-06-21",11820
"7","Juive","Système scolaire et éducation",9.29642559804532,89.8497562082756,85,"2024-06-21",11820
"8","Juive","La sécurité des biens et des personnes",22.9136380012191,89.8497562082756,85,"2024-06-21",11820
"9","Juive","Le montant des déficits publics",12.2985365492761,89.8497562082756,85,"2024-06-21",11820
"10","Juive","Autres réponses",38.1616195257406,89.8497562082756,85,"2024-06-21",11820
"11","Musulmane","Le chômage",35.2568567620295,341.389228140116,270,"2024-06-21",11820
"12","Musulmane","Système scolaire et éducation",23.1206929805229,341.389228140116,270,"2024-06-21",11820
"13","Musulmane","La sécurité des biens et des personnes",2.35284267221982,341.389228140116,270,"2024-06-21",11820
"14","Musulmane","Le montant des déficits publics",3.05799436976054,341.389228140116,270,"2024-06-21",11820
"15","Musulmane","Autres réponses",36.2116132154673,341.389228140116,270,"2024-06-21",11820
"16","Autre religion (protestante, boudhiste ou autre)","Le chômage",28.0316950167612,488.62002065533,463,"2024-06-21",11820
"17","Autre religion (protestante, boudhiste ou autre)","Système scolaire et éducation",19.8707347758168,488.62002065533,463,"2024-06-21",11820
"18","Autre religion (protestante, boudhiste ou autre)","La sécurité des biens et des personnes",10.2669332802988,488.62002065533,463,"2024-06-21",11820
"19","Autre religion (protestante, boudhiste ou autre)","Le montant des déficits publics",9.07198633179859,488.62002065533,463,"2024-06-21",11820
"20","Autre religion (protestante, boudhiste ou autre)","Autres réponses",32.7586505953247,488.62002065533,463,"2024-06-21",11820
