"","Y6REL1ST","Y6PARTEU24ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Catholique","Vous n'avez pas voté",15.9501464596962,5727.57697234451,5972,"2024-06-21",11820
"2","Catholique","Vous avez voté",84.0498535403038,5727.57697234451,5972,"2024-06-21",11820
"3","Juive","Vous n'avez pas voté",17.3297803257189,89.8497562082756,85,"2024-06-21",11820
"4","Juive","Vous avez voté",82.6702196742812,89.8497562082756,85,"2024-06-21",11820
"5","Musulmane","Vous n'avez pas voté",35.2568567620295,341.389228140116,270,"2024-06-21",11820
"6","Musulmane","Vous avez voté",64.7431432379705,341.389228140116,270,"2024-06-21",11820
"7","Autre religion (protestante, boudhiste ou autre)","Vous n'avez pas voté",27.8106479719743,487.123844161772,462,"2024-06-21",11820
"8","Autre religion (protestante, boudhiste ou autre)","Vous avez voté",72.1893520280257,487.123844161772,462,"2024-06-21",11820
"9","Sans religion","Vous n'avez pas voté",23.0125501865432,5005.29463131597,4894,"2024-06-21",11820
"10","Sans religion","Vous avez voté",76.9874498134568,5005.29463131597,4894,"2024-06-21",11820
