"","Y7AGGLO5ST","Y7PARTL24AST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Zone rurale (moins de 2 000 habitants)","Vous n'avez pas voté",11.9660925207785,2488.41372088587,2240,"2024-07-26",11204
"2","Zone rurale (moins de 2 000 habitants)","Vous avez voté",88.0339074792215,2488.41372088587,2240,"2024-07-26",11204
"3","Zone urbaine de 2 000 à 9 999 habitants","Vous n'avez pas voté",9.45599446575589,1538.30820373893,1369,"2024-07-26",11204
"4","Zone urbaine de 2 000 à 9 999 habitants","Vous avez voté",90.5440055342441,1538.30820373893,1369,"2024-07-26",11204
"5","Zone urbaine de 10 000 à 49 999 habitants","Vous n'avez pas voté",12.4131471412048,1286.2181079339,1295,"2024-07-26",11204
"6","Zone urbaine de 10 000 à 49 999 habitants","Vous avez voté",87.5868528587952,1286.2181079339,1295,"2024-07-26",11204
"7","Zone urbaine de 50 000 à 199 999 habitants","Vous n'avez pas voté",12.1587112122824,1348.96131496246,1560,"2024-07-26",11204
"8","Zone urbaine de 50 000 à 199 999 habitants","Vous avez voté",87.8412887877176,1348.96131496246,1560,"2024-07-26",11204
"9","Zone urbaine de 200 000 habitants et plus","Vous n'avez pas voté",12.3396615046265,4538.31564883234,4738,"2024-07-26",11204
"10","Zone urbaine de 200 000 habitants et plus","Vous avez voté",87.6603384953734,4538.31564883234,4738,"2024-07-26",11204
