"","Y7PROXST","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Vous n'avez pas voté",12.9490480496148,1055.85226830169,855,"2024-07-26",11204
"2","Très à gauche (Lutte Ouvrière, Nouveau Parti Anticapitaliste, Parti Communiste Français, France Insoumise)","Vous avez voté",87.0509519503852,1055.85226830169,855,"2024-07-26",11204
"3","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Vous n'avez pas voté",8.67502908140733,1471.34910784708,1627,"2024-07-26",11204
"4","Gauche (Parti Socialiste, Europe Ecologie - Les Verts)","Vous avez voté",91.3249709185927,1471.34910784708,1627,"2024-07-26",11204
"5","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Vous n'avez pas voté",7.68482687184874,1363.89306245578,1481,"2024-07-26",11204
"6","Centre (Renaissance, Le MoDem (Mouvement Démocrate), Horizons, UDI (Union des Démocrates et Indépendants))","Vous avez voté",92.3151731281513,1363.89306245578,1481,"2024-07-26",11204
"7","Droite (Les Républicains)","Vous n'avez pas voté",9.01082450120231,661.292919160925,772,"2024-07-26",11204
"8","Droite (Les Républicains)","Vous avez voté",90.9891754987977,661.292919160925,772,"2024-07-26",11204
"9","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Vous n'avez pas voté",8.44080695860216,2373.99632661252,2263,"2024-07-26",11204
"10","Très à droite (Debout la France, Rassemblement national (ex Front National), Reconquête!)","Vous avez voté",91.5591930413978,2373.99632661252,2263,"2024-07-26",11204
"11","Autre parti ou aucun parti","Vous n'avez pas voté",20.674157267666,2773.40607464239,2681,"2024-07-26",11204
"12","Autre parti ou aucun parti","Vous avez voté",79.325842732334,2773.40607464239,2681,"2024-07-26",11204
