"","Y7Q7ST","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Très à gauche","Vous n'avez pas voté",10.2432712294428,529.234517543212,451,"2024-07-26",11204
"2","Très à gauche","Vous avez voté",89.7567287705572,529.234517543212,451,"2024-07-26",11204
"3","Plutôt à gauche","Vous n'avez pas voté",10.8690878650083,2273.71077241551,2361,"2024-07-26",11204
"4","Plutôt à gauche","Vous avez voté",89.1309121349917,2273.71077241551,2361,"2024-07-26",11204
"5","Au centre","Vous n'avez pas voté",12.8859924291806,1593.50464556265,1566,"2024-07-26",11204
"6","Au centre","Vous avez voté",87.1140075708194,1593.50464556265,1566,"2024-07-26",11204
"7","Plutôt à droite","Vous n'avez pas voté",11.7788488184602,3087.85781158663,3241,"2024-07-26",11204
"8","Plutôt à droite","Vous avez voté",88.2211511815398,3087.85781158663,3241,"2024-07-26",11204
"9","Très à droite","Vous n'avez pas voté",7.35173390681576,1228.40931127055,1157,"2024-07-26",11204
"10","Très à droite","Vous avez voté",92.6482660931842,1228.40931127055,1157,"2024-07-26",11204
