"","Y7REG13ST","Y7PARTL24BST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","Vous n'avez pas voté",15.9644261980771,1418.40750276998,1415,"2024-07-26",11204
"2","Ile de France","Vous avez voté",84.0355738019229,1418.40750276998,1415,"2024-07-26",11204
"3","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Vous n'avez pas voté",11.6471576881935,2005.74955223829,2033,"2024-07-26",11204
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Vous avez voté",88.3528423118065,2005.74955223829,2033,"2024-07-26",11204
"5","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Vous n'avez pas voté",10.9533970053272,2269.65706663605,2322,"2024-07-26",11204
"6","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Vous avez voté",89.0466029946728,2269.65706663605,2322,"2024-07-26",11204
"7","Sud ouest (Nouvelle Aquitaine et Occitanie)","Vous n'avez pas voté",12.3619145892733,1996.63964830874,1989,"2024-07-26",11204
"8","Sud ouest (Nouvelle Aquitaine et Occitanie)","Vous avez voté",87.6380854107267,1996.63964830874,1989,"2024-07-26",11204
"9","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Vous n'avez pas voté",12.2832834836581,2011.23304865205,1921,"2024-07-26",11204
"10","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Vous avez voté",87.7167165163419,2011.23304865205,1921,"2024-07-26",11204
