"","Y7AGGLO5ST","Y7PL15ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Zone rurale (moins de 2 000 habitants)","Confiance",24.1802113234081,2486.1049383145,2239,"2024-07-26",11204
"2","Zone rurale (moins de 2 000 habitants)","Pas confiance",75.819788676592,2486.1049383145,2239,"2024-07-26",11204
"3","Zone urbaine de 2 000 à 9 999 habitants","Confiance",25.3286005301634,1538.30820373893,1369,"2024-07-26",11204
"4","Zone urbaine de 2 000 à 9 999 habitants","Pas confiance",74.6713994698366,1538.30820373893,1369,"2024-07-26",11204
"5","Zone urbaine de 10 000 à 49 999 habitants","Confiance",21.980343904553,1284.59136225076,1293,"2024-07-26",11204
"6","Zone urbaine de 10 000 à 49 999 habitants","Pas confiance",78.019656095447,1284.59136225076,1293,"2024-07-26",11204
"7","Zone urbaine de 50 000 à 199 999 habitants","Confiance",24.3056496499941,1347.77705356894,1559,"2024-07-26",11204
"8","Zone urbaine de 50 000 à 199 999 habitants","Pas confiance",75.6943503500059,1347.77705356894,1559,"2024-07-26",11204
"9","Zone urbaine de 200 000 habitants et plus","Confiance",30.9696340365242,4540.82883500973,4739,"2024-07-26",11204
"10","Zone urbaine de 200 000 habitants et plus","Pas confiance",69.0303659634758,4540.82883500973,4739,"2024-07-26",11204
