"","Y7AGERST","Y7PL16ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Favorable",57.259398464207,1239.89938341128,670,"2024-07-26",11204
"2","18 à 24 ans","Pas favorable",42.740601535793,1239.89938341128,670,"2024-07-26",11204
"3","25 à 34 ans","Favorable",59.2936893850297,1640.08159120537,1369,"2024-07-26",11204
"4","25 à 34 ans","Pas favorable",40.7063106149703,1640.08159120537,1369,"2024-07-26",11204
"5","35 à 49 ans","Favorable",52.8830951882318,2515.56992851222,2359,"2024-07-26",11204
"6","35 à 49 ans","Pas favorable",47.1169048117682,2515.56992851222,2359,"2024-07-26",11204
"7","50 à 59 ans","Favorable",55.7223228535102,1844.44757460325,1977,"2024-07-26",11204
"8","50 à 59 ans","Pas favorable",44.2776771464898,1844.44757460325,1977,"2024-07-26",11204
"9","60 ans et plus","Favorable",42.7350965214959,3957.23999370595,4824,"2024-07-26",11204
"10","60 ans et plus","Pas favorable",57.2649034785041,3957.23999370595,4824,"2024-07-26",11204
