"","Y7REG13ST","Y7PL4ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Ile de France","Sentiment positif (joie, espoir ou soulagement)",38.3485314955515,1893.47402019953,1884,"2024-07-26",11204
"2","Ile de France","Indifférence",10.9276026784299,1893.47402019953,1884,"2024-07-26",11204
"3","Ile de France","Sentiment négatif (déception, colère ou peur)",50.7238658260186,1893.47402019953,1884,"2024-07-26",11204
"4","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Sentiment positif (joie, espoir ou soulagement)",27.5350816395648,2508.58278919435,2537,"2024-07-26",11204
"5","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Indifférence",13.3091570986652,2508.58278919435,2537,"2024-07-26",11204
"6","Nord et Est (Hauts de France, Grand Est et Bourgogne Franche Comté)","Sentiment négatif (déception, colère ou peur)",59.15576126177,2508.58278919435,2537,"2024-07-26",11204
"7","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Sentiment positif (joie, espoir ou soulagement)",33.3571118302198,2331.55764634939,2395,"2024-07-26",11204
"8","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Indifférence",12.2315267463642,2331.55764634939,2395,"2024-07-26",11204
"9","Ouest (Normandie, Bretagne, Pays de la Loire et Centre Val de Loire)","Sentiment négatif (déception, colère ou peur)",54.411361423416,2331.55764634939,2395,"2024-07-26",11204
"10","Sud ouest (Nouvelle Aquitaine et Occitanie)","Sentiment positif (joie, espoir ou soulagement)",31.7185169959642,2142.197309247,2150,"2024-07-26",11204
"11","Sud ouest (Nouvelle Aquitaine et Occitanie)","Indifférence",12.6646720227449,2142.197309247,2150,"2024-07-26",11204
"12","Sud ouest (Nouvelle Aquitaine et Occitanie)","Sentiment négatif (déception, colère ou peur)",55.6168109812908,2142.197309247,2150,"2024-07-26",11204
"13","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Sentiment positif (joie, espoir ou soulagement)",30.2530833148875,2328.18823500971,2238,"2024-07-26",11204
"14","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Indifférence",11.1615768640252,2328.18823500971,2238,"2024-07-26",11204
"15","Sud est (Auvergne Rhône Alpes, Provence Alpes Côte d'Azur et Corse)","Sentiment négatif (déception, colère ou peur)",58.5853398210873,2328.18823500971,2238,"2024-07-26",11204
