"","Y7ECO2ST2","Y7PL6ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Moins de 1 250 euros","Souvent",25.9569887699662,970.610167077917,808,"2024-07-26",11204
"2","Moins de 1 250 euros","Rarement ou jamais",74.0430112300338,970.610167077917,808,"2024-07-26",11204
"3","De 1 250 euros à 1 999 euros","Souvent",25.3241330147526,2129.20895060799,1927,"2024-07-26",11204
"4","De 1 250 euros à 1 999 euros","Rarement ou jamais",74.6758669852474,2129.20895060799,1927,"2024-07-26",11204
"5","De 2 000 à 3 499 euros","Souvent",25.528479002505,4084.02765767112,4070,"2024-07-26",11204
"6","De 2 000 à 3 499 euros","Rarement ou jamais",74.471520997495,4084.02765767112,4070,"2024-07-26",11204
"7","De 3 500 à 4 999 euros","Souvent",26.3471551538455,2173.94856552127,2358,"2024-07-26",11204
"8","De 3 500 à 4 999 euros","Rarement ou jamais",73.6528448461545,2173.94856552127,2358,"2024-07-26",11204
"9","5 000 euros et plus","Souvent",31.5885022384027,929.359109049184,1120,"2024-07-26",11204
"10","5 000 euros et plus","Rarement ou jamais",68.4114977615973,929.359109049184,1120,"2024-07-26",11204
